ESTU_GENERO,EDAD,ESTU_COMOCAPACITOEXAMENSB11,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_TIENECONSOLAVIDEOJUEGOS,MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,GRUPO
1,32,1,4,4,4,0,68,70,66,11,63.0,153,2
1,22,1,5,5,4,0,49,40,72,74,22.0,152,2
1,23,1,3,5,3,0,89,64,76,77,18.0,165,1
1,31,1,1,1,2,0,21,3,6,1,23.0,106,0
1,58,1,1,1,4,0,79,49,34,69,99.0,169,2
1,21,1,5,5,4,0,86,57,46,82,2.0,151,2
0,20,1,10,5,1,0,83,33,47,41,100.0,166,2
1,21,1,4,4,1,1,45,94,34,83,86.0,169,1
1,21,2,2,4,2,0,84,32,42,69,48.0,154,2
1,21,0,8,3,5,1,87,82,63,86,86.0,179,1
1,24,1,4,3,6,0,85,92,73,72,47.0,171,1
0,40,1,4,6,1,0,12,19,22,5,1.0,94,0
1,18,2,4,10,2,1,74,100,56,99,50.0,182,1
1,21,1,0,0,3,0,96,96,94,71,92.0,192,1
0,19,2,1,0,2,1,78,92,98,76,68.0,183,1
1,22,0,8,5,2,1,61,74,81,60,57.0,162,1
1,21,1,10,5,3,0,92,36,17,24,82.0,151,2
0,31,1,6,6,3,0,40,37,46,8,96.0,148,2
0,22,1,8,8,3,0,17,30,21,75,1.0,111,0
1,23,1,2,1,1,0,7,6,4,8,1.0,82,0
0,20,1,4,4,2,1,84,47,57,30,75.0,158,2
0,23,2,4,2,2,0,21,59,59,81,13.0,146,2
1,33,1,2,5,5,0,86,32,38,50,52.0,151,2
0,20,1,1,2,1,0,70,74,90,51,32.0,162,1
1,25,1,3,5,2,1,78,100,92,99,100.0,223,1
1,23,1,1,5,3,0,46,40,54,29,77.0,149,2
0,21,0,3,3,2,1,37,29,7,68,60.0,137,2
0,23,2,8,3,5,0,63,44,68,95,54.0,164,1
0,27,1,1,1,2,0,77,47,18,30,37.0,142,2
1,21,0,1,1,1,0,64,12,18,53,70.0,142,2
0,21,0,0,4,2,0,79,51,44,71,91.0,167,1
1,25,1,2,2,2,0,28,1,3,34,23.0,113,0
0,30,1,2,1,2,0,27,45,28,28,61.0,138,2
