MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,id_unico
63,55,57,68,56.0,156,117021
74,62,54,53,27.0,154,226862
99,51,63,75,83.0,177,198811
21,18,12,41,34.0,126,171636
43,33,51,46,76.0,150,89067
22,45,65,53,45.0,145,8352
60,31,45,71,91.0,159,38557
61,60,71,71,83.0,167,109793
60,71,77,52,25.0,156,109364
49,39,59,61,35.0,149,164058
34,59,32,17,1.0,111,230194
88,94,85,92,91.0,190,164110
97,85,91,87,30.0,180,212756
31,91,93,99,91.0,185,223123
2,18,25,7,7.0,110,45225
31,33,33,93,88.0,159,232299
91,29,66,54,3.0,147,118267
75,92,96,92,95.0,192,107387
69,50,35,70,1.0,126,71991
59,83,65,76,7.0,155,189827
69,24,43,49,9.0,138,36133
22,58,91,36,50.0,150,39225
69,53,62,37,84.0,159,70890
69,36,45,16,65.0,146,125220
77,32,76,54,66.0,159,3434
87,48,83,82,78.0,174,98404
40,85,95,70,74.0,171,189034
96,64,76,90,66.0,179,53175
83,98,98,77,97.0,195,177751
70,86,36,89,58.0,166,37758
61,45,29,16,14.0,134,159506
59,98,87,92,99.0,192,174909
16,9,43,14,46.0,126,20179
49,42,69,6,25.0,139,77553
72,55,56,83,84.0,168,83092
38,7,9,29,6.0,115,94713
61,76,74,66,57.0,162,94633
65,72,85,88,87.0,177,230072
86,95,97,96,84.0,195,231543
56,67,53,77,68.0,162,172494
18,20,23,5,12.0,116,70717
56,60,46,75,94.0,166,60233
84,60,100,66,71.0,178,70584
46,87,93,89,42.0,171,151104
66,82,82,78,87.0,176,13612
47,39,42,72,40.0,148,166332
97,91,84,95,88.0,194,122070
85,89,77,82,66.0,177,9633
3,6,9,13,62.0,113,123886
31,15,4,77,10.0,123,197528
27,3,17,19,42.0,120,75452
12,14,51,35,77.0,138,240300
33,52,83,78,98.0,190,152465
78,87,92,97,27.0,179,91702
89,77,56,32,38.0,158,169936
30,49,62,25,9.0,135,245719
4,21,32,48,27.0,127,88098
4,29,51,51,26.0,132,101765
91,94,97,97,97.0,200,240551
4,3,78,11,68.0,128,50391
20,8,6,41,6.0,113,52028
54,95,82,99,74.0,184,183933
73,60,66,72,83.0,168,153918
73,29,51,77,64.0,158,107033
93,96,98,66,99.0,196,95032
27,51,68,56,66.0,152,241542
31,48,32,13,32.0,134,139426
89,94,95,68,53.0,178,10344
90,85,85,50,86.0,177,65167
38,29,25,71,98.0,156,225144
72,1,7,38,47.0,126,206523
57,57,51,76,16.0,152,170697
23,52,41,13,55.0,137,60752
74,54,2,14,85.0,141,43869
100,77,35,67,53.0,170,91882
82,88,79,83,96.0,184,32445
40,13,17,20,2.0,117,240607
24,19,30,14,3.0,118,153600
37,23,51,25,21.0,135,140947
67,80,71,53,46.0,160,15447
45,66,45,34,57.0,148,81472
92,99,99,92,88.0,200,118968
84,54,29,92,86.0,170,51319
1,5,3,8,1.0,89,13887
53,54,38,47,2.0,137,230916
43,61,29,14,77.0,145,81031
59,96,87,94,83.0,184,24131
6,20,5,4,1.0,85,233235
94,80,76,82,95.0,185,23950
36,31,36,31,25.0,135,121871
5,3,5,13,36.0,106,145485
52,61,23,57,92.0,157,232097
18,55,25,81,1.0,118,81642
36,10,10,30,12.0,118,128229
96,88,95,93,86.0,194,235386
72,82,54,26,67.0,159,11132
35,75,13,81,87.0,157,228251
27,37,44,39,5.0,130,21119
41,93,60,87,94.0,175,223939
95,98,99,100,70.0,202,87373
15,9,36,9,7.0,115,79388
26,33,30,2,5.0,118,66716
21,83,56,84,25.0,155,149848
3,2,3,2,48.0,99,64191
61,83,75,33,88.0,166,220100
56,87,54,69,22.0,158,230507
73,73,95,69,72.0,174,201314
34,14,31,13,1.0,102,77493
45,63,45,56,40.0,149,11720
47,38,34,72,30.0,146,81383
3,29,19,10,54.0,121,24155
30,84,92,95,23.0,167,123322
58,28,12,20,7.0,124,37407
7,43,12,53,1.0,103,614
58,31,24,71,75.0,151,201301
65,75,95,79,62.0,172,211969
17,46,43,23,20.0,133,160142
47,17,15,11,24.0,125,196571
99,78,77,96,91.0,193,113463
